task_id,nearest_neighbor_task_id,nearest_neighbor_distance,nearest_neighbor_used_run_config,accuracy,balanced_accuracy,precision,precision_micro,precision_macro,recall,recall_micro,recall_macro,f1_micro,f1_macro,jaccard_micro,jaccard_macro
126021,288,0.7149793126477194,ensemble-learners/el_task-288_ens-size-10_budget-m-2000_budget-f-100_seed-997.pkl,0.9382415576513539,0.9341243858563151,"[0.95639535 0.96141479 0.9389313  0.98958333 0.93639576 0.99426934
 0.96363636 0.91503268 0.95762712]",0.9583592293349906,0.9570317815097523,"[0.96764706 0.91717791 0.96660118 0.95959596 0.9566787  0.99426934
 0.95128205 0.87774295 0.80141844]",0.9382415576513539,0.9324903989282104,0.9481936971560339,0.9438213635715815,0.9014907921660333,0.8957328495253178
126024,75210,1.3458164220745885,ensemble-learners/el_task-75210_ens-size-5_budget-m-2000_budget-f-100_seed-469.pkl,0.92669136283876,0.8946003393937114,[0.9978678  0.89978506],0.92669136283876,0.9488264328163436,[0.79009567 0.99910501],0.92669136283876,0.8946003393937114,0.92669136283876,0.914378579354221,0.8633969118982743,0.8439122238141921
126030,211720,0.5022231569391727,ensemble-learners/el_task-211720_ens-size-5_budget-m-2000_budget-f-100_seed-164.pkl,0.987051206592113,0.9873428044346362,[0.99656357 0.99220273 1.         0.97913043 0.95772358 1.        ],0.987051206592113,0.9876033858243961,[0.99827883 1.         0.99150743 0.95423729 0.98003328 1.        ],0.987051206592113,0.9873428044346362,0.987051206592113,0.9874192971362818,0.9744334689134224,0.9755290414469794
126031,211720,0.6809643052419009,ensemble-learners/el_task-211720_ens-size-5_budget-m-2000_budget-f-100_seed-164.pkl,0.9922865013774105,0.9919736635752338,"[0.97837838 1.         1.         1.         0.98717949 0.98113208
 0.98795181 1.         1.         0.99310345 0.98757764]",0.9922865013774105,0.9923020760259903,"[1.         1.         1.         0.99453552 0.9625     1.
 0.98795181 1.         1.         0.97297297 0.99375   ]",0.9922865013774105,0.9919736635752338,0.9922865013774105,0.992093837583997,0.9846910880262438,0.9844343788744062
146574,211720,0.595186200546786,ensemble-learners/el_task-211720_ens-size-5_budget-m-2000_budget-f-100_seed-164.pkl,0.9949494949494949,0.9961240310077519,[1.         1.         1.         0.96666667 1.         1.        ],0.9949494949494949,0.9944444444444445,[1.         1.         1.         1.         1.         0.97674419],0.9949494949494949,0.9961240310077519,0.9949494949494949,0.9952143569292123,0.9899497487437185,0.9905684754521964
146576,288,0.6721226545771911,ensemble-learners/el_task-288_ens-size-10_budget-m-2000_budget-f-100_seed-997.pkl,0.7328519855595668,0.49528301886792453,[0.99       0.99047619 0.         0.        ],0.9902439024390244,0.4951190476190476,[1.         0.98113208 0.         0.        ],0.7328519855595668,0.49528301886792453,0.8423236514522822,0.4951892162232966,0.7275985663082437,0.49049065420560745
146586,146596,0.36876262635325696,ensemble-learners/el_task-146596_ens-size-5_budget-m-2000_budget-f-100_seed-430.pkl,0.995575221238938,0.9959677419354839,[1.         0.99029126],0.995575221238938,0.9951456310679612,[0.99193548 1.        ],0.995575221238938,0.9959677419354839,0.995575221238938,0.9955366841117803,0.9911894273127754,0.991113373003445
146593,166950,0.7401166065764142,ensemble-learners/el_task-166950_ens-size-5_budget-m-2000_budget-f-100_seed-668.pkl,0.7291666666666666,0.6845391611239311,[0.83206107 0.50819672],0.7291666666666666,0.6701288950068828,[0.78417266 0.58490566],0.7291666666666666,0.6845391611239311,0.7291666666666665,0.6756335282651073,0.5737704918032787,0.5252563047219936
146594,189863,0.5958121341656056,ensemble-learners/el_task-189863_ens-size-10_budget-m-2000_budget-f-100_seed-616.pkl,0.8531468531468531,0.8531558212199429,[0.8501171  0.85614849],0.8531468531468531,0.8531327939490428,[0.85411765 0.852194  ],0.8531468531468531,0.8531558212199429,0.8531468531468531,0.8531396713615024,0.7439024390243902,0.7438929168990519
146596,146586,0.3687626263532582,ensemble-learners/el_task-146586_ens-size-5_budget-m-2000_budget-f-100_seed-668.pkl,0.946524064171123,0.9335544092360599,[0.93548387 0.96825397],0.946524064171123,0.9518689196108551,[0.98305085 0.88405797],0.946524064171123,0.9335544092360599,0.946524064171123,0.9414600550964187,0.8984771573604061,0.8898949251061927
146597,75236,2.1979653293775603,ensemble-learners/el_task-75236_ens-size-10_budget-m-2000_budget-f-100_seed-616.pkl,0.7553191489361702,0.7298880286380286,"[1.         0.6        0.8        0.6        0.         0.85714286
 0.71428571 0.4        0.66666667 0.66666667 0.85714286 0.875
 1.         0.46153846 0.7        0.76923077 0.72222222 0.85714286
 1.         0.81818182]",0.7553191489361702,0.7182610445110444,"[1.         0.75       0.90909091 0.5        0.         1.
 0.90909091 0.33333333 0.66666667 0.66666667 1.         0.875
 0.83333333 0.75       0.53846154 0.66666667 0.65       1.
 0.85714286 0.69230769]",0.7553191489361702,0.7298880286380286,0.7553191489361702,0.7182586902240367,0.6068376068376068,0.6028683862433862
166866,166951,0.1437211008664245,ensemble-learners/el_task-166951_ens-size-10_budget-m-2000_budget-f-100_seed-919.pkl,0.8606060606060606,0.8592548787699585,[0.85333333 0.86666667],0.8606060606060606,0.8600000000000001,[0.84210526 0.87640449],0.8606060606060606,0.8592548787699585,0.8606060606060605,0.8595952495467831,0.7553191489361702,0.7539547058154091
166872,166932,0.17851947178867578,ensemble-learners/el_task-166932_ens-size-10_budget-m-2000_budget-f-100_seed-621.pkl,0.5212121212121212,0.5175154548130704,[0.5        0.53608247],0.5212121212121212,0.518041237113402,[0.43037975 0.60465116],0.5212121212121212,0.5175154548130704,0.5212121212121212,0.5154455224712835,0.3524590163934426,0.3489157603188543
166905,75233,0.5124954349283903,ensemble-learners/el_task-75233_ens-size-10_budget-m-2000_budget-f-100_seed-425.pkl,0.8855421686746988,0.8818765504158763,[0.86458333 0.91428571],0.8855421686746988,0.8894345238095238,[0.93258427 0.83116883],0.8855421686746988,0.8818765504158763,0.8855421686746989,0.8840227983085126,0.7945945945945946,0.792404913772738
166915,75185,0.3379495068607959,ensemble-learners/el_task-75185_ens-size-10_budget-m-2000_budget-f-100_seed-617.pkl,0.9616613418530351,0.9618387703376666,[0.95424837 0.96875   ],0.9616613418530351,0.961499183006536,[0.96688742 0.95679012],0.9616613418530351,0.9618387703376666,0.9616613418530351,0.961629617522066,0.9261538461538461,0.9260971727431213
166931,75131,0.14768374973386011,ensemble-learners/el_task-75131_ens-size-5_budget-m-2000_budget-f-100_seed-45.pkl,0.9151515151515152,0.9155614500442086,[0.9        0.92941176],0.9151515151515152,0.9147058823529413,[0.92307692 0.90804598],0.9151515151515152,0.9155614500442086,0.915151515151515,0.9149985281130409,0.8435754189944135,0.8433358339584897
166932,166872,0.17851947178867578,ensemble-learners/el_task-166872_ens-size-5_budget-m-2000_budget-f-100_seed-664.pkl,0.5878787878787879,0.5881575080811049,[0.6        0.57777778],0.5878787878787879,0.5888888888888888,[0.54216867 0.63414634],0.5878787878787879,0.5881575080811049,0.5878787878787879,0.5871357079776274,0.41630901287553645,0.41578171091445426
166950,75149,0.11296638952053677,ensemble-learners/el_task-75149_ens-size-10_budget-m-2000_budget-f-100_seed-826.pkl,0.9030303030303031,0.900794818957904,[0.94366197 0.87234043],0.9030303030303031,0.9080011986814505,[0.84810127 0.95348837],0.9030303030303031,0.900794818957904,0.9030303030303031,0.9022222222222223,0.8232044198895028,0.8219818047701009
